%time input output
0.016707 7.95896346681 -1.49330041301
0.016708 7.93990398648 -1.49602381396
0.016709 7.9207661425 -1.49870777577
0.01671 7.90155012376 -1.50135227195
0.016711 7.8822561199 -1.50395727639
0.016712 7.86288432137 -1.50652276339
0.016713 7.84343491933 -1.50904870763
0.016714 7.82390810577 -1.51153508418
0.016715 7.80430407338 -1.5139818685
0.016716 7.78462301567 -1.51638903643
0.016717 7.76486512687 -1.51875656423
0.016718 7.74503060199 -1.52108442852
0.016719 7.72511963678 -1.52337260633
0.01672 7.70513242776 -1.52562107508
0.016721 7.68506917219 -1.52782981258
0.016722 7.66493006809 -1.52999879702
0.016723 7.64471531423 -1.532128007
0.016724 7.62442511011 -1.5342174215
0.016725 7.604059656 -1.53626701991
0.016726 7.58361915289 -1.53827678199
0.016727 7.56310380251 -1.54024668791
0.016728 7.54251380736 -1.54217671822
0.016729 7.52184937064 -1.54406685389
0.01673 7.5011106963 -1.54591707624
0.016731 7.48029798903 -1.54772736703
0.016732 7.45941145424 -1.54949770838
0.016733 7.43845129807 -1.55122808283
0.016734 7.41741772739 -1.55291847329
0.016735 7.39631094979 -1.55456886308
0.016736 7.37513117358 -1.55617923591
0.016737 7.35387860781 -1.55774957589
0.016738 7.33255346223 -1.55927986752
0.016739 7.3111559473 -1.5607700957
0.01674 7.28968627421 -1.56222024571
0.016741 7.26814465487 -1.56363030326
0.016742 7.24653130187 -1.56500025441
0.016743 7.22484642853 -1.56633008565
0.016744 7.20309024888 -1.56761978385
0.016745 7.18126297763 -1.56886933629
0.016746 7.15936483022 -1.57007873063
0.016747 7.13739602276 -1.57124795494
0.016748 7.11535677209 -1.57237699767
0.016749 7.09324729572 -1.57346584769
0.01675 7.07106781187 -1.57451449424
0.016751 7.04881853942 -1.57552292698
0.016752 7.02649969799 -1.57649113595
0.016753 7.00411150784 -1.57741911161
0.016754 6.98165418993 -1.57830684478
0.016755 6.95912796592 -1.57915432671
0.016756 6.93653305813 -1.57996154903
0.016757 6.91386968955 -1.58072850378
0.016758 6.89113808387 -1.58145518339
0.016759 6.86833846544 -1.58214158068
0.01676 6.84547105929 -1.58278768888
0.016761 6.82253609109 -1.58339350162
0.016762 6.79953378722 -1.58395901291
0.016763 6.7764643747 -1.58448421718
0.016764 6.75332808121 -1.58496910923
0.016765 6.7301251351 -1.58541368429
0.016766 6.70685576537 -1.58581793796
0.016767 6.68352020168 -1.58618186627
0.016768 6.66011867434 -1.5865054656
0.016769 6.63665141432 -1.58678873278
0.01677 6.61311865324 -1.587031665
0.016771 6.58952062334 -1.58723425987
0.016772 6.56585755753 -1.58739651539
0.016773 6.54212968936 -1.58751842995
0.016774 6.51833725301 -1.58760000236
0.016775 6.4944804833 -1.5876412318
0.016776 6.47055961569 -1.58764211788
0.016777 6.44657488628 -1.58760266058
0.016778 6.42252653177 -1.58752286029
0.016779 6.39841478951 -1.5874027178
0.01678 6.37423989749 -1.5872422343
0.016781 6.35000209429 -1.58704141136
0.016782 6.32570161913 -1.58680025098
0.016783 6.30133871185 -1.58651875553
